"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"M&amp;M","EQ","23-Jan-2020","        553.60","        553.50","        567.40","        549.55","        566.20","        566.50","        561.67","    2113303","          1186988428.70","      29380","     763220","         36.12"
"M&amp;M","EQ","24-Jan-2020","        566.50","        566.10","        572.00","        564.10","        569.50","        567.75","        569.13","    2284717","          1300301983.55","      40082","     896886","         39.26"
"M&amp;M","EQ","27-Jan-2020","        567.75","        565.00","        582.50","        563.00","        578.35","        578.30","        577.50","    3654906","          2110693009.75","      50823","    1219761","         33.37"
"M&amp;M","EQ","28-Jan-2020","        578.30","        581.25","        589.75","        568.50","        573.75","        572.50","        581.03","    3689004","          2143439051.70","      66297","    1024287","         27.77"
"M&amp;M","EQ","29-Jan-2020","        572.50","        577.50","        580.70","        572.15","        576.70","        577.75","        576.50","    1934080","          1114997168.80","      44201","     595401","         30.78"
"M&amp;M","EQ","30-Jan-2020","        577.75","        578.00","        587.55","        563.85","        566.50","        567.85","        573.84","    2901951","          1665242279.30","      50548","     938753","         32.35"
"M&amp;M","EQ","31-Jan-2020","        567.85","        570.80","        577.00","        565.30","        568.80","        567.15","        570.67","    2352196","          1342322700.25","      48884","     915613","         38.93"
"M&amp;M","EQ","01-Feb-2020","        567.15","        566.00","        581.20","        528.95","        545.10","        545.20","        562.78","    4034237","          2270385246.20","      42908","     908944","         22.53"
"M&amp;M","EQ","03-Feb-2020","        545.20","        545.00","        565.75","        535.20","        559.75","        558.70","        552.73","    3818209","          2110434657.40","      61630","     892859","         23.38"
"M&amp;M","EQ","04-Feb-2020","        558.70","        562.00","        578.80","        558.80","        577.35","        576.90","        571.61","    2793702","          1596905877.25","      49302","    1057850","         37.87"
"M&amp;M","EQ","05-Feb-2020","        576.90","        580.25","        589.85","        577.40","        585.00","        584.35","        584.69","    3320830","          1941663661.75","      54572","    1043994","         31.44"
"M&amp;M","EQ","06-Feb-2020","        584.35","        585.00","        589.15","        576.05","        580.60","        580.15","        582.03","    2207104","          1284590015.60","      41416","     778011","         35.25"
"M&amp;M","EQ","07-Feb-2020","        580.15","        579.00","        581.50","        561.30","        569.00","        569.10","        570.38","    4083215","          2328997203.25","      52666","    1626611","         39.84"
"M&amp;M","EQ","10-Feb-2020","        569.10","        566.80","        567.00","        526.05","        528.40","        528.40","        539.02","    9648880","          5200898495.75","     149883","    2540595","         26.33"
"M&amp;M","EQ","11-Feb-2020","        528.40","        533.20","        537.70","        522.70","        523.90","        524.05","        529.57","    5404802","          2862234875.85","      96880","    1419834","         26.27"
"M&amp;M","EQ","12-Feb-2020","        524.05","        526.65","        534.30","        523.90","        531.90","        531.00","        529.25","    3426829","          1813636205.50","      69539","     921023","         26.88"
"M&amp;M","EQ","13-Feb-2020","        531.00","        530.45","        538.00","        528.30","        533.25","        533.60","        533.73","    3392352","          1810614314.20","      43781","     918442","         27.07"
"M&amp;M","EQ","14-Feb-2020","        533.60","        535.25","        536.95","        520.65","        524.10","        523.00","        528.10","    3507540","          1852343439.85","      65333","    1296123","         36.95"
"M&amp;M","EQ","17-Feb-2020","        523.00","        524.10","        525.40","        516.00","        524.50","        522.75","        520.97","    2652464","          1381864585.75","      61444","     984511","         37.12"
"M&amp;M","EQ","18-Feb-2020","        522.75","        520.50","        524.90","        514.10","        523.20","        523.20","        519.88","    2868873","          1491477162.35","      54410","    1158867","         40.39"
"M&amp;M","EQ","19-Feb-2020","        523.20","        528.15","        529.65","        521.80","        528.55","        526.40","        525.03","    1952880","          1025315031.95","      36230","     532358","         27.26"
"M&amp;M","EQ","20-Feb-2020","        526.40","        525.90","        533.00","        523.00","        524.30","        524.85","        528.45","    2077458","          1097840017.90","      37210","     526667","         25.35"
"M&amp;M","EQ","24-Feb-2020","        524.85","        522.00","        522.00","        511.10","        514.15","        513.20","        515.71","    1911411","           985725622.10","      44611","     845724","         44.25"
"M&amp;M","EQ","25-Feb-2020","        513.20","        515.55","        519.50","        506.10","        510.00","        508.95","        512.90","    2105613","          1079972176.05","      35509","     720678","         34.23"
